Parent Path,Name,Href,URL,Is External,ms.author,ms.topic,ms.service,description,pivot_id,has_pivots,pivot_groups,hub-only,file_found,Notes,NextGen?,pivot_ai_foundry,pivot_ai_foundry_portal,pivot_azcli,pivot_azportal,pivot_azpowershell,pivot_azure_ai_foundry,pivot_azure_ai_model_categories,pivot_azure_ai_studio_sdk_cli,pivot_azure_direct_others,pivot_azure_openai,pivot_bicep,pivot_cli,pivot_csharp,pivot_fdp_project,pivot_foundry_portal,pivot_hub_project,pivot_java,pivot_javascript,pivot_language_studio,pivot_portal,pivot_programming_language_bicep,pivot_programming_language_cli,pivot_programming_language_cpp,pivot_programming_language_csharp,pivot_programming_language_dotnet,pivot_programming_language_foundry_portal,pivot_programming_language_go,pivot_programming_language_java,pivot_programming_language_javascript,pivot_programming_language_objectivec,pivot_programming_language_powershell,pivot_programming_language_python,pivot_programming_language_python_azure,pivot_programming_language_rest,pivot_programming_language_ruby,pivot_programming_language_spring,pivot_programming_language_studio,pivot_programming_language_swift,pivot_programming_language_typescript,pivot_ps,pivot_python,pivot_python_sdk,pivot_rest,pivot_rest_api,pivot_speech_studio,pivot_typescript,pivot_web_portal
,What is Azure AI Foundry?,ai-foundry/what-is-azure-ai-foundry.md,https://learn.microsoft.com/azure/ai-foundry/what-is-azure-ai-foundry,False,sgilley,overview,azure-ai-foundry,"Azure AI Foundry is a trusted platform that empowers developers to drive innovation and shape the future with AI in a safe, secure, and responsible way.",,False,,False,True,,y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Get started,Quickstart,ai-foundry/quickstarts/get-started-code.md,https://learn.microsoft.com/azure/ai-foundry/quickstarts/get-started-code,False,sgilley,how-to,azure-ai-foundry,"Get started with Azure AI Foundry SDK to build AI applications. Learn to deploy models, create chat apps, trace LLM calls, and run evaluations with Python code examples.",project-type,True,"fdp-project, hub-project",False,True,,y,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Get started,Azure AI Foundry client libraries,ai-foundry/how-to/develop/sdk-overview.md,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/sdk-overview,False,sgilley,how-to,azure-ai-foundry,This article provides an overview of the Azure AI Foundry SDK and how to get started using it.,foundry-sdk-overview-languages,True,"programming-language-python, programming-language-csharp, programming-language-javascript, programming-language-java",False,True,,y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Get started,Ask the Foundry agent,ai-foundry/foundry-agent/ask-foundry-agent.md,https://learn.microsoft.com/azure/ai-foundry/foundry-agent/ask-foundry-agent,False,jeomhove,concept-article,azure-ai-foundry,"Learn how to ask the Foundry agent for help, getting your questions answered based on Azure AI Foundry documentation and model catalog.",,False,,False,True,,y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models,Explore Foundry Models,ai-foundry/concepts/foundry-models-overview.md,https://learn.microsoft.com/azure/ai-foundry/concepts/foundry-models-overview,False,ssalgado,how-to,azure-ai-foundry,This article introduces Azure AI Foundry Models and the model catalog in Azure AI Foundry portal.,,False,,False,True,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models,Foundry Models sold directly by Azure,ai-foundry/foundry-models/concepts/models-sold-directly-by-azure.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/models-sold-directly-by-azure,False,mopeakande,conceptual,azure-ai-foundry,"Learn about Azure AI Foundry Models sold directly by Azure, their capabilities, deployment types, and regional availability for AI applications.",models-sold-directly-by-azure,True,"azure-openai, azure-direct-others",False,True,,y,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models,Foundry Models from partners and community,ai-foundry/foundry-models/concepts/models-from-partners.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/models-from-partners,False,mopeakande,conceptual,azure-ai-foundry,"Learn about Azure AI Foundry Models from partners and community, their capabilities, deployment types, and regional availability for AI applications.",azure-ai-model-categories,True,azure-ai-model-categories,False,True,,y,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models,Model versions,ai-foundry/foundry-models/concepts/model-versions.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/model-versions,False,mopeakande,concept-article,azure-ai-foundry,Learn about model versions in Foundry Models.,,False,,False,True,,y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models,Model lifecycle and retirement,ai-foundry/concepts/model-lifecycle-retirement.md,https://learn.microsoft.com/azure/ai-foundry/concepts/model-lifecycle-retirement,False,mopeakande,concept-article,azure-ai-foundry,"Learn about the lifecycle stages, deprecation, and retirement for Azure AI Foundry Models.",,False,,False,True,,y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models,"Data, privacy, and security for Model Catalog",ai-foundry/how-to/concept-data-privacy.md,https://learn.microsoft.com/azure/ai-foundry/how-to/concept-data-privacy,False,ssalgado,concept-article,azure-ai-foundry,"Get details about how data that customers provide is processed, used, and stored when a user deploys a model from the model catalog.",,False,,False,True,,n,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models,Foundry Models quotas and limits,ai-foundry/foundry-models/quotas-limits.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/quotas-limits,False,mopeakande,concept-article,azure-ai-foundry,"Quick reference, detailed description, and best practices on the quotas and limits for the Azure AI Foundry service.",,False,,False,True,,y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Choose a model for your use case,Model leaderboards,ai-foundry/concepts/model-benchmarks.md,https://learn.microsoft.com/azure/ai-foundry/concepts/model-benchmarks,False,lagayhar,concept-article,azure-ai-foundry,This article introduces benchmarking capabilities and model leaderboards (preview) in Azure AI Foundry portal.,,False,,False,True,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Choose a model for your use case,Compare models in leaderboards,ai-foundry/how-to/benchmark-model-in-catalog.md,https://learn.microsoft.com/azure/ai-foundry/how-to/benchmark-model-in-catalog,False,lagayhar,how-to,azure-ai-foundry,"In this article, you learn to compare benchmarks across models and datasets, using the model leaderboards (preview) and the benchmarks feature in Azure AI Foundry portal.",,False,,False,True,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Choose a model for your use case,Explore the model playgrounds,ai-foundry/concepts/concept-playgrounds.md,https://learn.microsoft.com/azure/ai-foundry/concepts/concept-playgrounds,False,mopeakande,concept-article,azure-ai-foundry,"Learn to use Azure AI Foundry playgrounds for exploration, experimentation, and iteration with different models.",,False,,False,True,,y*,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Deploy Foundry Models,Deployment options in Azure AI Foundry portal,ai-foundry/concepts/deployments-overview.md,https://learn.microsoft.com/azure/ai-foundry/concepts/deployments-overview,False,mopeakande,concept-article,azure-ai-foundry,Learn about deployment options for Azure AI Foundry Models.,,False,,False,True,,y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Deploy Foundry Models,Deployment types,ai-foundry/foundry-models/concepts/deployment-types.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/deployment-types,False,mopeakande,how-to,azure-ai-foundry,Learn how to use deployment types in Azure AI model deployments,,False,,False,True,,?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Deploy Foundry Models,Configure Models from Partners and Community,ai-foundry/foundry-models/how-to/configure-marketplace.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/configure-marketplace,False,mopeakande,how-to,azure-ai-foundry,Learn how to configure access to Models from Partners and Community.,,False,,False,True,,y*,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Deploy Foundry Models,Deploy Foundry Models,ai-foundry/foundry-models/how-to/create-model-deployments.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/create-model-deployments,False,mopeakande,how-to,azure-ai-foundry,Learn how to add and configure new models to the Azure AI Foundry's inference endpoint.,azure-ai-models-deployment,True,"ai-foundry-portal, programming-language-cli, programming-language-bicep",False,True,,y*,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Deploy Foundry Models,Deploy Azure OpenAI in Foundry Models,ai-foundry/how-to/deploy-models-openai.md,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-openai,False,mopeakande,how-to,azure-ai-foundry,"Learn how to deploy and use Azure OpenAI models in Azure AI Foundry, including model region availability and quota management.",,False,,False,True,,n,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Deploy Foundry Models,Upgrade from GitHub Models to Azure AI Foundry Models,ai-foundry/foundry-models/how-to/quickstart-github-models.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/quickstart-github-models,False,mopeakande,how-to,azure-ai-foundry,Learn how to upgrade your endpoint from GitHub Models to Azure AI Foundry Models,,False,,False,True,,y*,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Deploy Foundry Models,Troubleshoot deployments and monitoring,ai-foundry/how-to/troubleshoot-deploy-and-monitor.md,https://learn.microsoft.com/azure/ai-foundry/how-to/troubleshoot-deploy-and-monitor,False,mopeakande,how-to,azure-ai-foundry,Learn how to troubleshoot and monitor model deployments in Azure AI Foundry portal to quickly resolve errors and optimize performance.,,False,,True,True,,y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Develop with AI models,Endpoints for Foundry Models,ai-foundry/foundry-models/concepts/endpoints.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/endpoints,False,mopeakande,how-to,azure-ai-foundry,"Learn how to access and use Azure AI Foundry Models endpoints for secure model inference, flexible deployments, and keyless authentication.",,False,,False,True,,y*,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Develop with AI models,Supported programming languages and SDKs,ai-services/openai/supported-languages.md?context=/azure/ai-foundry/context/context,https://learn.microsoft.com/azure/ai-services/openai/supported-languages?context=/azure/ai-foundry/context/context,False,,,,,,False,,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Develop with AI models,Azure AI Inference SDK,ai-foundry/foundry-models/supported-languages.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/supported-languages,False,mopeakande,concept-article,azure-ai-foundry,Learn how to choose the right programming languages and SDKs for deploying and using models in Azure AI Foundry Models.,,False,,False,True,,y*,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Models > Develop with AI models > Work with chat models,Work with chat completion models,ai-foundry/foundry-models/how-to/use-chat-completions.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/use-chat-completions,False,mopeakande,how-to,azure-ai-foundry,Learn how to generate chat completions with Azure AI Foundry Models,azure-ai-inference-samples,True,"programming-language-python, programming-language-javascript, programming-language-java, programming-language-csharp, programming-language-rest",False,True,,y*,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
