Date,Group,TopicType,Url,Title,PageViews,PVMoM,Visitors,Engagement,Flags,BounceRate,ClickThroughRate,CopyTryScrollRate,ExitRate,HelpfulRating,Ratings,Verbatims,Drilldown,Trends,Freshness,MSUpdateCycleDays,LastPublished,LastReviewed,OrganicSearchReferrals,OrganicSearchRate,DirectTrafficRate,MicrosoftTrafficRate,ExternalTrafficRate,SocialMediaTrafficRate,CopyRate,TryRate,ScrollRate,FirstPublished,MSAuthor,IsHistorical,RedirectUrl,PlatformId,CSAs
August 2025,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/concepts/models,Azure OpenAI in Azure AI Foundry Models - Azure OpenAI,"80,618",11.8%,"40,813",H,0,12.3%,40.2%,84.4%,48.6%,68.8%,16,2,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-d064b212-226f-85d8-d552-ee37e3527649&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-d064b212-226f-85d8-d552-ee37e3527649&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-09-02,2025-08-12,"25,655",31.8%,24.9%,37.4%,5.6%,0.2%,12%,0%,84%,7/2/2025,mbullwin,No,,d064b212-226f-85d8-d552-ee37e3527649,
August 2025,Concepts,overview,https://learn.microsoft.com/en-us/azure/ai-foundry/what-is-azure-ai-foundry,What is Azure AI Foundry? - Azure AI Foundry,"36,189",-15.2%,"22,633",H,0,14.4%,32.7%,75.6%,38.5%,90.7%,43,3,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-4b6bf4fe-7d2d-21fc-39be-9bebcc2cdb4a&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-4b6bf4fe-7d2d-21fc-39be-9bebcc2cdb4a&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-11,2025-07-01,"11,483",31.7%,10.3%,55.1%,2.6%,0.3%,4%,0%,75%,4/4/2025,sgilley,No,,4b6bf4fe-7d2d-21fc-39be-9bebcc2cdb4a,
August 2025,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/reference,Azure OpenAI in Azure AI Foundry Models REST API reference - Azure OpenAI,"24,004",-12.6%,"14,419",H,0,13.9%,29.0%,75.5%,43.1%,66.7%,3,1,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-b8ca5ef3-d1d8-3f83-a26c-86fa83ed71bf&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-b8ca5ef3-d1d8-3f83-a26c-86fa83ed71bf&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-01,2025-07-31,"9,911",41.3%,24.2%,20.3%,14.1%,0.1%,11%,0%,75%,7/2/2025,mbullwin,No,,b8ca5ef3-d1d8-3f83-a26c-86fa83ed71bf,
August 2025,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/quotas-limits,Azure OpenAI in Azure AI Foundry Models Quotas and Limits,"20,387",-1.1%,"11,755",H,1,11.2%,24.3%,88.4%,46.1%,75.0%,4,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-30d951f7-9b26-2126-0c95-da15f0bb1105&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-30d951f7-9b26-2126-0c95-da15f0bb1105&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-09-02,2025-08-19,"7,507",36.8%,18.7%,39.1%,5.4%,0.1%,8%,0%,88%,7/2/2025,mbullwin,No,,30d951f7-9b26-2126-0c95-da15f0bb1105,
August 2025,Concepts,overview,https://learn.microsoft.com/en-us/azure/ai-foundry/agents/overview,What is Azure AI Foundry Agent Service? - Azure AI Foundry,"20,037",-18.9%,"12,016",H,1,16.1%,33.5%,76.7%,37.3%,100.0%,3,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-6707e137-5f75-c843-75ec-d9b5ed86f274&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-6707e137-5f75-c843-75ec-d9b5ed86f274&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-22,2025-06-25,"7,363",36.7%,14.8%,39.9%,8.3%,0.2%,4%,0%,76%,6/16/2025,aahi,No,,6707e137-5f75-c843-75ec-d9b5ed86f274,
August 2025,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/api-version-lifecycle,Azure OpenAI in Azure AI Foundry Models API version lifecycle,"13,574",17.8%,"7,217",H,0,9.1%,36.5%,90.4%,37.6%,100.0%,1,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-36d5c2d5-3872-97b0-9dc4-7ee6ba6f8a0b&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-36d5c2d5-3872-97b0-9dc4-7ee6ba6f8a0b&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-29,2025-08-26,"4,990",36.8%,17.9%,37.6%,7.7%,0.0%,29%,0%,90%,7/2/2025,mbullwin,No,,36d5c2d5-3872-97b0-9dc4-7ee6ba6f8a0b,
August 2025,Navigation,hub-page,https://learn.microsoft.com/en-us/azure/ai-foundry/,Azure AI Foundry documentation,"48,325",0.9%,"29,537",H,1,15.9%,49.9%,65.5%,19.7%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-3e1574c0-d8a9-ed6f-bfe8-b97bd9c9667c&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-3e1574c0-d8a9-ed6f-bfe8-b97bd9c9667c&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-07,2025-08-07,"4,826",10.0%,25.5%,57.6%,6.6%,0.3%,1%,0%,65%,2/28/2025,sgilley,No,,3e1574c0-d8a9-ed6f-bfe8-b97bd9c9667c,
August 2025,Concepts,overview,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/overview,What is Azure OpenAI in Azure AI Foundry Models?,"18,775",-9.7%,"12,821",H,0,13.5%,37.6%,77.4%,37.1%,80.0%,5,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-b8870506-5c86-651f-309f-44e5608e2fdf&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-b8870506-5c86-651f-309f-44e5608e2fdf&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-13,2025-07-31,"4,617",24.6%,25.3%,40.9%,8.9%,0.3%,3%,0%,77%,7/2/2025,mbullwin,No,,b8870506-5c86-651f-309f-44e5608e2fdf,
August 2025,Concepts,overview,https://learn.microsoft.com/en-us/azure/ai-services/speech-service/speech-to-text,Speech to text overview - Speech service - Azure AI services,"9,852",-5.1%,"6,412",H,0,12.9%,43.0%,78.5%,35.4%,100.0%,2,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-87e4a886-654e-7c2c-a6ed-69f1b15384aa&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-87e4a886-654e-7c2c-a6ed-69f1b15384aa&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,180,2025-08-20,2025-08-07,"4,449",45.2%,9.7%,42.0%,3.0%,0.0%,2%,1%,78%,8/28/2024,pafarley,No,,87e4a886-654e-7c2c-a6ed-69f1b15384aa,"[""data-ai""]"
August 2025,Concepts,how-to,https://learn.microsoft.com/en-us/azure/ai-foundry/agents/how-to/tools/bing-grounding,How to use Grounding with Bing Search in Azure AI Foundry Agent Service - Azure AI Foundry,"13,920",-8.9%,"6,867",H,0,10.5%,37.0%,84.3%,40.1%,100.0%,1,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-38ad94a8-f714-6b2c-f1e3-ac69dc1afbf7&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-38ad94a8-f714-6b2c-f1e3-ac69dc1afbf7&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-07,2025-08-07,"4,087",29.4%,21.5%,44.5%,4.2%,0.4%,9%,0%,84%,6/16/2025,aahi,No,,38ad94a8-f714-6b2c-f1e3-ac69dc1afbf7,
