Parent Path,Name,Href,OtherTOC,URL,Summary
,Azure AI Foundry Agent Service Documentation,index.yml,FALSE,https://learn.microsoft.com/azure/ai-services/agents/index,"* Provides an overview and quickstart guides for Azure AI Foundry Agent Service, a managed platform for building, deploying, and scaling AI agents.  
* Offers detailed documentation on concepts, tools, features, and integrations related to the service."
Overview,What is Foundry Agent Service?,overview.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/overview,"* Provides a platform that integrates models, tools, frameworks, and governance to build and operate intelligent agents.  
* Facilitates the deployment of secure, scalable, and production-ready AI agents for enterprise automation and workflow management."
Overview,What's new,./whats-new.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/./whats-new,"* Provides updates on the general availability and new features of Azure AI Foundry Agent Service, including agent catalog, Visual Studio Code extension, connected and trace agents, and event-triggered agents.  
* Summarizes recent enhancements such as Azure monitor integration, BYO thread storage, Microsoft Fabric tool, and preview features like support for non-Azure OpenAI models and enterprise security."
Overview,FAQ,faq.yml,FALSE,https://learn.microsoft.com/azure/ai-services/agents/faq,"* Provides frequently asked questions and key information about the Azure AI Foundry Agent Service  
* Clarifies data storage, security, encryption, usage, regional presence, and pricing details"
Getting started,Environment setup,./environment-setup.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/./environment-setup,"* Provides instructions for setting up the environment to create and manage agents using Azure AI Foundry Agent Service.  
* Outlines prerequisites, permissions, and configuration options for different setup modes (Basic, Standard, and Private Networking)."
Getting started,Quickstart,quickstart.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/quickstart,"Provides a step-by-step guide to creating, configuring, and running AI agents using Azure AI Foundry, including code samples, prerequisites, permissions, and API interactions"
Getting started,Quotas and limits,quotas-limits.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/quotas-limits,"* Provides detailed quotas and limits for Azure AI Foundry Agent Service, including file sizes, number of files, and token limits.
* Guides on related Azure OpenAI model quotas and how to access additional resources and support."
Getting started,Model and region support,./concepts/model-region-support.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/./concepts/model-region-support,"* Provides an overview of supported models for Azure AI Foundry Agent Service, including Azure OpenAI models, non-Microsoft models, and models with or without tool-calling capabilities.
* Details deployment options, regional availability, and instructions for integrating various models into agent projects."
Getting started,Pricing,https://azure.microsoft.com/pricing/details/ai-foundry/,FALSE,https://learn.microsoft.com/azure/ai-services/agents/https://azure.microsoft.com/pricing/details/ai-foundry/,"* Indicates an error or invalid request to a system or service.  
* Likely a response message signaling that the request could not be processed due to client error."
Concepts,"Threads, runs, and messages",concepts/threads-runs-messages.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/concepts/threads-runs-messages,"* Provides an overview of how Azure AI Foundry Agent Service manages conversation components including threads, runs, and messages.  
* Explains the creation, management, and interaction processes of agents, threads, messages, and runs within the service."
Concepts,Standard agent setup,concepts/standard-agent-setup.md,FALSE,https://learn.microsoft.com/azure/ai-services/agents/concepts/standard-agent-setup,"* Provides a detailed overview of the standard agent setup for Azure AI Foundry, emphasizing enterprise security, compliance, and control through customer-managed resources.  
* Outlines the provisioning process, resource requirements, data isolation, and role assignments necessary for a secure, scalable deployment."
