Notes,NextGen?,NextGen TOC,Parent Path,Name,filename,URL,Is External,ms.author,ms.topic,ms.service,description,zone_pivot_groups,pivot_id,has_pivots,pivot_groups,hub-only,file_found,has_tabs,tab_count,tab_formats,has_images,image_count,portal_steps,has_code_blocks,code_block_count,code_languages,has_code_refs,code_ref_count,contains_link_no_param,Contains_link_with_param,title,author
,y,top,,What is Azure AI Foundry?,ai-foundry/what-is-azure-ai-foundry.md,https://learn.microsoft.com/azure/ai-foundry/what-is-azure-ai-foundry,False,sgilley,overview,azure-ai-foundry,"Azure AI Foundry is a trusted platform that empowers developers to drive innovation and shape the future with AI in a safe, secure, and responsible way.",,,False,,False,True,False,0,,True,4,False,False,0,,False,0,False,True,What is Azure AI Foundry?,sdgilley
,y,Get started,Get started,Quickstart,ai-foundry/quickstarts/get-started-code.md,https://learn.microsoft.com/azure/ai-foundry/quickstarts/get-started-code,False,sgilley,how-to,azure-ai-foundry,"Get started with Azure AI Foundry SDK to build AI applications. Learn to deploy models, create chat apps, trace LLM calls, and run evaluations with Python code examples.",,,False,,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Azure AI Foundry SDK Quickstart - Build Your First AI App,sdgilley
,y,API & SDK,Get started,Azure AI Foundry client libraries,ai-foundry/how-to/develop/sdk-overview.md,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/sdk-overview,False,sgilley,how-to,azure-ai-foundry,This article provides an overview of the Azure AI Foundry SDK and how to get started using it.,foundry-sdk-overview-languages,foundry-sdk-overview-languages,True,foundry-sdk-overview-languages,False,True,False,0,,False,0,False,False,0,,False,0,False,False,How to get started with Azure AI Foundry SDK,sdgilley
,y,Get Started,Get started,Ask the Foundry agent,ai-foundry/foundry-agent/ask-foundry-agent.md,https://learn.microsoft.com/azure/ai-foundry/foundry-agent/ask-foundry-agent,False,jeomhove,concept-article,azure-ai-foundry,"Learn how to ask the Foundry agent for help, getting your questions answered based on Azure AI Foundry documentation and model catalog.",,,False,,False,True,False,0,,True,1,False,False,0,,False,0,False,True,Ask the Foundry agent,jfomhover
,y,,Models,Explore Foundry Models,ai-foundry/concepts/foundry-models-overview.md,https://learn.microsoft.com/azure/ai-foundry/concepts/foundry-models-overview,False,ssalgado,how-to,azure-ai-foundry,This article introduces Azure AI Foundry Models and the model catalog in Azure AI Foundry portal.,,,False,,False,True,False,0,,True,5,False,False,0,,False,0,False,True,Explore Azure AI Foundry Models,ssalgadodev
,y,,Models,Foundry Models sold directly by Azure,ai-foundry/foundry-models/concepts/models-sold-directly-by-azure.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/models-sold-directly-by-azure,False,mopeakande,conceptual,azure-ai-foundry,"Learn about Azure AI Foundry Models sold directly by Azure, their capabilities, deployment types, and regional availability for AI applications.",models-sold-directly-by-azure,models-sold-directly-by-azure,True,models-sold-directly-by-azure,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Foundry Models sold directly by Azure,msakande
,y,,Models,Foundry Models from partners and community,ai-foundry/foundry-models/concepts/models-from-partners.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/models-from-partners,False,mopeakande,conceptual,azure-ai-foundry,"Learn about Azure AI Foundry Models from partners and community, their capabilities, deployment types, and regional availability for AI applications.",azure-ai-model-categories,azure-ai-model-categories,True,azure-ai-model-categories,False,True,False,0,,False,0,False,False,0,,False,0,True,False,Foundry Models from partners and community,msakande
,y,,Models,Model versions,ai-foundry/foundry-models/concepts/model-versions.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/model-versions,False,mopeakande,concept-article,azure-ai-foundry,Learn about model versions in Foundry Models.,,,False,,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Model versions in Azure AI Foundry Models,msakande
,y,,Models,Model lifecycle and retirement,ai-foundry/concepts/model-lifecycle-retirement.md,https://learn.microsoft.com/azure/ai-foundry/concepts/model-lifecycle-retirement,False,mopeakande,concept-article,azure-ai-foundry,"Learn about the lifecycle stages, deprecation, and retirement for Azure AI Foundry Models.",,,False,,False,True,False,0,,False,0,False,False,0,,False,0,True,False,Deprecation for Foundry Models,msakande
,n,,Models,"Data, privacy, and security for Model Catalog",ai-foundry/how-to/concept-data-privacy.md,https://learn.microsoft.com/azure/ai-foundry/how-to/concept-data-privacy,False,ssalgado,concept-article,azure-ai-foundry,"Get details about how data that customers provide is processed, used, and stored when a user deploys a model from the model catalog.",,,False,,False,True,False,0,,True,2,False,False,0,,False,0,False,False,"Data, privacy, and security for use of models through the model catalog in Azure AI Foundry portal",ssalgadodev
,y,,Models,Foundry Models quotas and limits,ai-foundry/foundry-models/quotas-limits.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/quotas-limits,False,mopeakande,concept-article,azure-ai-foundry,"Quick reference, detailed description, and best practices on the quotas and limits for the Azure AI Foundry service.",,,False,,False,True,False,0,,False,0,True,False,0,,False,0,False,False,Azure AI Foundry Models quotas and limits,msakande
