Parent Path,Name,Href,OtherTOC,URL
,What is Azure AI Foundry?,what-is-azure-ai-foundry.md,false,https://learn.microsoft.com/azure/ai-foundry/what-is-azure-ai-foundry
,Quickstart,quickstarts/get-started-code.md,false,https://learn.microsoft.com/azure/ai-foundry/quickstarts/get-started-code
,Azure AI Foundry client libraries,how-to/develop/sdk-overview.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/sdk-overview
,Ask the Foundry agent,foundry-agent/ask-foundry-agent.md,false,https://learn.microsoft.com/azure/ai-foundry/foundry-agent/ask-foundry-agent
,Explore Azure AI Foundry Models,concepts/foundry-models-overview.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/foundry-models-overview
,Configure Models from Partners and Community,model-inference/how-to/configure-marketplace.md?context=/azure/ai-foundry/context/context,false,https://learn.microsoft.com/azure/ai-foundry/model-inference/how-to/configure-marketplace?context=/azure/ai-foundry/context/context
,"Data, privacy, and security for Model Catalog",how-to/concept-data-privacy.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/concept-data-privacy
,Model lifecycle and retirement,concepts/model-lifecycle-retirement.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/model-lifecycle-retirement
,Model leaderboards,concepts/model-benchmarks.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/model-benchmarks
,Compare models in leaderboards,how-to/benchmark-model-in-catalog.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/benchmark-model-in-catalog
,Explore the model playgrounds,concepts/concept-playgrounds.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/concept-playgrounds
,Deployment options in Azure AI Foundry portal,concepts/deployments-overview.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/deployments-overview
,Supported programming languages and SDKs,../ai-services/openai/supported-languages.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/supported-languages?context=/azure/ai-foundry/context/context
,Foundry Models quotas and limits,../ai-foundry/model-inference/quotas-limits.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/quotas-limits?context=/azure/ai-foundry/context/context
,Deployment types,../ai-foundry/model-inference/concepts/deployment-types.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/concepts/deployment-types?context=/azure/ai-foundry/context/context
,Supported Foundry Models,../ai-foundry/model-inference/concepts/models.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/concepts/models?context=/azure/ai-foundry/context/context
,Deploy Foundry Models,../ai-foundry/model-inference/how-to/create-model-deployments.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/how-to/create-model-deployments?context=/azure/ai-foundry/context/context
,Use the Foundry Models endpoint,../ai-foundry/model-inference/how-to/inference.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/how-to/inference?context=/azure/ai-foundry/context/context
